"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"1012-10","1","1012-10","Term. Jd. Britania - Jd. Monte Belo","3","",""
"1015-10","1","1015-10","Term. Jd. Britânia - Chác. Maria Trindade","3","",""
"1016-10","1","1016-10","Cem. Do Horto - Shop. Center Norte","3","",""
"1017-10","1","1017-10","Perus - Conexão Vl. Iório","3","",""
"1018-10","1","1018-10","Vl. Rosa - Metrô Santana","3","",""
"1019-10","1","1019-10","Sol Nascente - Term. Pirituba","3","",""
"1020-10","1","1020-10","Perus - Conexão Vl. Iório ","3","",""
"1021-10","1","1021-10","Cohab Brasilândia - Term. Pirituba","3","",""
"1024-10","1","1024-10","Jd. Carombé - Conexão Petrônio Portela","3","",""
"1025-10","1","1025-10","Jd. Carombé - Conexão Petrônio Portela","3","",""
"1026-10","1","1026-10","Vl. Iara - Conexão Petrônio Portela","3","",""
"1034-10","1","1034-10","Vl. Iara - Conexão Vl. Iório","3","",""
"1036-10","1","1036-10","Cohab Brasilândia - Conexão Vl. Iório","3","",""
"106A-10","1","106A-10","Metrô Santana - Itaim Bibi","3","",""
"107T-10","1","107T-10","Metrô Tucuruvi - Term. Pinheiros","3","",""
"1156-10","1","1156-10","Vl. Sabrina - Pça. Do Correio","3","",""
"1177-10","1","1177-10","Term. A. E. Carvalho - Luz","3","",""
"1177-31","1","1177-31","Term. A. E. Carvalho - Luz","3","",""
"1177-42","1","1177-42","Eng. Goulart - Term. Pq. D. Pedro Ii","3","",""
"1178-10","1","1178-10","São Miguel - Pça. Do Correio","3","",""
"1178-31","1","1178-31","São Miguel - Pça. Do Correio","3","",""
"1178-32","1","1178-32","Abel Tavares - Pça. Do Correio","3","",""
"1178-33","1","1178-33","Pça. Do Correio - São Miguel","3","",""
"1178-42","1","1178-42","Conj. Hab. Vl. Sílvia - Pça. Do Correio","3","",""
"118C-10","1","118C-10","Jd. Pery Alto - Metrô Sta. Cecília","3","",""
"118Y-10","1","118Y-10","Lauzane Paulista - Lapa","3","",""
"119C-10","1","119C-10","Vl. Sabrina - Term. Princ. Isabel","3","",""
"119L-10","1","119L-10","Vl. Sulina - Term. Lapa","3","",""
"1206-10","1","1206-10","Pq. Vl. Maria - Correio","3","",""
"121G-10","1","121G-10","Pq. Novo Mundo - Metrô Tucuruvi","3","",""
"128Y-10","1","128Y-10","Jd. Pery Alto - Lapa","3","",""
"129F-10","1","129F-10","Conexão Petrônio Portela - Metrô Barra Funda","3","",""
"129F-41","1","129F-41","Conexão Petrônio Portela - Pça. Do Correio","3","",""
"139A-10","1","139A-10","Vl. Iório - Lapa","3","",""
"148L-10","1","148L-10","Cohab Antártica - Lapa","3","",""
"148P-10","1","148P-10","Jd. Pery - Metrô Barra Funda","3","",""
"1701-10","1","1701-10","Jova Rural - Carandiru","3","",""
"1701-21","1","1701-21","Jova Rural - Metrô Tucuruvi","3","",""
"1701-22","1","1701-22","Jova Rural - Metrô Tucuruvi","3","",""
"1702-10","1","1702-10","Jova Rural - Tietê","3","",""
"1703-10","1","1703-10","Jd. Fontális - Shop. Center Norte","3","",""
"1705-10","1","1705-10","Jd. São João - Metrô Tucuruvi","3","",""
"1709-10","1","1709-10","Jd. Joana D'arc - Metrô Tucuruvi","3","",""
"1709-21","1","1709-21","Jd. Joamar - Metrô Tucuruvi","3","",""
"1720-10","1","1720-10","Jd. Guancã - Cantareira","3","",""
"1720-21","1","1720-21","Vila Sabrina - Metrô Tucuruvi","3","",""
"1721-10","1","1721-10","Vl. Sabrina - Metrô Carandiru","3","",""
"1722-10","1","1722-10","Jd. Marina - Metrô Tucuruvi","3","",""
"1726-10","1","1726-10","Vl. Zilda - Metrô Santana","3","",""
"172J-10","1","172J-10","Jd. Brasil - Tatuapé","3","",""
"172K-10","1","172K-10","Jd. Tremembé - Metrô Tatuapé","3","",""
"172N-10","1","172N-10","Shop. Center Norte - Metrô Belém","3","",""
"172N-21","1","172N-21","Uninove - Metrô Belém","3","",""
"172N-22","1","172N-22","Catumbi - Metrô Belém","3","",""
"172P-10","1","172P-10","Vl. Zilda - Metrô Belém","3","",""
"172R-10","1","172R-10","Jaçanã - Metrô Belém","3","",""
"172U-10","1","172U-10","Cem. Pq. Dos Pinheiros - Mooca","3","",""
"172X-10","1","172X-10","Pq. Novo Mundo - Metrô Tatuapé","3","",""
"172Y-10","1","172Y-10","Vl. Constança - Metrô Belém","3","",""
"1730-10","1","1730-10","Center Norte - Santana","3","",""
"1732-10","1","1732-10","Vl. Sabrina - Metrô Sta. Cecília","3","",""
"1738-10","1","1738-10","Vl. Constança - Metrô Santana","3","",""
"1741-10","1","1741-10","Vl. Dionisia - Metrô Santana","3","",""
"1742-10","1","1742-10","Jd. Antártica - Metrô Santana","3","",""
"1743-10","1","1743-10","Jd. Pery Alto - Shop. D","3","",""
"1744-10","1","1744-10","Lauzane Paulista - Metrô Santana","3","",""
"1745-10","1","1745-10","Vl.nova Cachoeirinha - Shop. Center Norte","3","",""
"174M-10","1","174M-10","Jd. Brasil - Museu Do Ipiranga","3","",""
"1756-10","1","1756-10","Pedra Branca - Metrô Santana","3","",""
"1757-10","1","1757-10","Conj. Dos Bancários - Metrô Santana - Circular","3","",""
"1758-10","1","1758-10","Jd. Antártica - Metrô Santana","3","",""
"1759-10","1","1759-10","Jd. Pery - Metrô Santana","3","",""
"175P-10","1","175P-10","Metrô Santana - Ana Rosa","3","",""
"175T-10","1","175T-10","Metrô Santana - Metrô Jabaquara","3","",""
"1760-10","1","1760-10","Cohab Antártica - Shop. Center Norte","3","",""
"1764-10","1","1764-10","Jd. Corisco - Metrô Santana","3","",""
"1764-41","1","1764-41","Cem. Pq. Da Cantareira - Metrô Parada Inglesa","3","",""
"1765-10","1","1765-10","Jd. Cabuçu - Metrô Tucuruvi","3","",""
"1766-10","1","1766-10","Jd. Cabuçu - Metrô Santana","3","",""
"1767-10","1","1767-10","Edú Chaves - Metrô Tucuruvi","3","",""
"1771-10","1","1771-10","Vl. Zilda - Metrô Santana","3","",""
"1772-10","1","1772-10","Jd. Filhos Da Terra - Metrô Tucuruvi","3","",""
"1773-10","1","1773-10","Cem. Pq. Dos Pinheiros - Mandaqui","3","",""
"1775-10","1","1775-10","Vl. Albertina - Shop. Center Norte","3","",""
"1778-10","1","1778-10","Jaçanã - Metrô Santana","3","",""
"177H-10","1","177H-10","Metrô Santana - Cid. Universitária","3","",""
"177H-21","1","177H-21","Metrô Santana - Pinheiros","3","",""
"177Y-10","1","177Y-10","Metrô Barra Funda - Pinheiros","3","",""
"1780-10","1","1780-10","Jd. Hebron - Term. Parada Inglesa","3","",""
"1782-10","1","1782-10","Vl. Nova Galvão - Metrô Santana","3","",""
"1783-10","1","1783-10","Cachoeira - Metrô Santana","3","",""
"1783-22","1","1783-22","Jd. Labitary - Metrô Santana","3","",""
"1783-41","1","1783-41","Jd. Labitary - Metrô Parada Inglesa","3","",""
"1785-10","1","1785-10","Vl. Aurora - Metrô Santana","3","",""
"1786-10","1","1786-10","Vl. Albertina - Metrô Santana","3","",""
"1787-10","1","1787-10","Vl. Marieta - Metrô Santana","3","",""
"1788-10","1","1788-10","Jd. Fontális - Metrô Santana","3","",""
"1788-51","1","1788-51","Jd. Campo Limpo - Metrô Santana","3","",""
"178A-10","1","178A-10","Metrô Santana - Lapa","3","",""
"178L-10","1","178L-10","Lauzane Paulista - Hosp. Das Clínicas","3","",""
"178T-10","1","178T-10","Metrô Santana - Ceasa","3","",""
"178Y-10","1","178Y-10","Vl. Amélia - Metrô Jd. São Paulo","3","",""
"178Y-21","1","178Y-21","Conj. Dos Bancários - Metrô Jd. São Paulo","3","",""
"179X-10","1","179X-10","Jd. Fontális - Metrô Barra Funda","3","",""
"189L-10","1","189L-10","Conexão Vl. Iório - Lapa","3","",""
"199D-10","1","199D-10","Conexão Vl. Iório - Term. Pinheiros","3","",""
"2002-10","1","2002-10","Term. Pq. D. Pedro Ii - Term. Bandeira","3","",""
"2004-10","1","2004-10","Jd. Nsa. Sra. Do Caminho - Cptm Guaianazes","3","",""
"2005-10","1","2005-10","Jd. Romano - São Miguel","3","",""
"2006-10","1","2006-10","Cid. Kemel I - Cptm Itaim Paulista","3","",""
"2007-10","1","2007-10","Cid. Kemel Ii - Cptm Itaim Paulista","3","",""
"2008-10","1","2008-10","Jd. Nsa. Sra. Do Caminho - Cptm Itaim Paulista","3","",""
"2008-41","1","2008-41","Jd. Miriam - Cptm Itaim Paulista","3","",""
"2009-10","1","2009-10","Jd. Robru - Cptm Guaianazes","3","",""
"2010-10","1","2010-10","Jd. Brasil - Shop. D","3","",""
"2010-21","1","2010-21","Jd. Brasil - Metrô Santana","3","",""
"2011-10","1","2011-10","Edú Chaves - Metrô Santana","3","",""
"2012-10","1","2012-10","Vl. Ede - Metrô Tietê","3","",""
